Cluster 0 of PKA,Cluster1 of PKA,Cluster 0 of Sieve,Cluster 1 of Sieve,Cluster 0 of Photon,Cluster 1 of Photon
,2144,,,2145,
,2176,,,2144,
,2272,,,2272,
,2144,,,2177,
,2176,,,2144,
,2145,,,2111,
,2176,,,2145,
,2112,,,2176,
,2144,,,2145,
,2112,,,2176,
,2272,,,2272,
,2145,,,2112,
,4256,,,2528,
,4736,,,2177,
,1952,,,2144,
,1440,,,2144,
,1344,,,2144,
,1345,,,2144,
,3264,,,2112,
,1376,,,2112,
,1985,,,2272,
,1984,,,2176,
,1344,,,2144,
,2464,,,2144,
,1408,,,2176,
,3103,,,2112,
,1312,,,2144,
,2112,,,2175,
,1343,,,2272,
,2528,,,2112,
,2113,,,2144,
,2176,,,2176,
,2176,,,2176,
,2144,,,2144,
,2112,,,2176,
,2176,,,2145,
,2176,,,2272,
,2304,,,2112,
,2144,,,2592,
,2144,,,2144,
,2144,,,2144,
,2112,,,2144,
,2144,,,2144,
,2144,,,2144,
,2144,,,2144,
,2304,,,2144,
,2144,,,2272,
,2176,,,2176,
,2112,,,2113,
,2143,,,2144,
,2176,,,2144,
,2112,,,2143,
,2176,,,2144,
,2240,,,2176,
,2175,,,2304,
,4256,,,2144,
,4640,,,2144,
,1952,,,2176,
,1408,,,2144,
,1343,,,2111,
,1344,,,2112,
,3231,,,2144,
,1344,,,2272,
,1856,,,2112,
,1951,,,2529,
,1344,,,2112,
,2560,,,2240,
,1376,,,2145,
,3072,,,2144,
,1344,,,2144,
,2048,,,2113,
,1312,,,2144,
,2528,,,2271,
,2176,,,2175,
,2145,,,2112,
,2144,,,2176,
,2145,,,2176,
,2144,,,2144,
,2112,,,2112,
,2145,,,2144,
,2272,,,2272,
,2144,,,2111,
,2111,,,2112,
,2144,,,2112,
,2144,,,2144,
,2176,,,2144,
,2112,,,2145,
,2144,,,2176,
,2272,,,2240,
,2144,,,2144,
,2144,,,2528,
,2144,,,2145,
,2144,,,2208,
,2145,,,2144,
,2176,,,2176,
,2112,,,2144,
,2305,,,2144,
,2144,,,2144,
,4256,,,2304,
,4736,,,2144,
,1952,,,2144,
,1440,,,2144,
,1344,,,2176,
,1344,,,2176,
,3232,,,2144,
,1376,,,2175,
,1856,,,2304,
,1984,,,2144,
,1344,,,2112,
,2529,,,2112,
,1344,,,2113,
,3136,,,2112,
,1344,,,2144,
,2080,,,2112,
,1312,,,2240,
,2529,,,2176,
,2112,,,2496,
,2112,,,2144,
,2112,,,2176,
,2144,,,2176,
,2176,,,2144,
,2144,,,2144,
,2144,,,2144,
,2336,,,2144,
,2112,,,2240,
,2144,,,2144,
,2177,,,2113,
,2176,,,2144,
,2144,,,2176,
,2144,,,2176,
,2144,,,2144,
,2271,,,2144,
,2112,,,2272,
,2112,,,2144,
,2144,,,2145,
,2144,,,2176,
,2144,,,2112,
,2111,,,2111,
,2144,,,2112,
,2272,,,2144,
,2176,,,2304,
,4193,,,2144,
,4672,,,2497,
,2080,,,2144,
,1440,,,2176,
,1312,,,2144,
,1343,,,2176,
,3264,,,2175,
,1376,,,2144,
,1888,,,2176,
,1952,,,2271,
,1376,,,2144,
,2528,,,2112,
,1408,,,2176,
,3104,,,2144,
,1376,,,2176,
,2048,,,2144,
,1312,,,2144,
,2528,,,2273,
,2144,,,2144,
,2144,,,2112,
,2143,,,2144,
,2143,,,2112,
,2144,,,2176,
,2144,,,2112,
,2144,,,2144,
,2304,,,2240,
,2175,,,2144,
,2144,,,2496,
,2176,,,2144,
,2176,,,2144,
,2176,,,2176,
,2112,,,2144,
,2176,,,2112,
,2304,,,2175,
,2176,,,2176,
,2144,,,2272,
,2112,,,2176,
,2112,,,2112,
,2144,,,2144,
,2112,,,2111,
,2145,,,2112,
,2240,,,2144,
,2143,,,2112,
,4256,,,2304,
,4768,,,2111,
,2048,,,2112,
,1440,,,2112,
,1344,,,2113,
,1376,,,2112,
,3232,,,2144,
,1376,,,2112,
,1856,,,2272,
,1952,,,2112,
,1344,,,2528,
,2496,,,2144,
,1408,,,2144,
,3104,,,2176,
,1376,,,2176,
,2048,,,2176,
,1312,,,2144,
,2528,,,2144,
,2144,,,2272,
,2144,,,2144,
,2176,,,2145,
,2143,,,2144,
,2176,,,2176,
,2144,,,2175,
,2144,,,2144,
,2304,,,2143,
,2112,,,2304,
,2175,,,2144,
,2144,,,2176,
,2144,,,2144,
,2144,,,2208,
,2176,,,2111,
,2176,,,2112,
,2240,,,2113,
,2176,,,2272,
,2145,,,2112,
,2144,,,2560,
,2144,,,2112,
,2144,,,2145,
,2112,,,2176,
,2143,,,2144,
,2240,,,2112,
,2144,,,2144,
,4224,,,2176,
,4672,,,2273,
,1984,,,2144,
,1440,,,2113,
,1377,,,2176,
,1376,,,2144,
,3297,,,2144,
,1408,,,2144,
,1888,,,2112,
,1952,,,2271,
,1376,,,2144,
,2593,,,2112,
,1408,,,2144,
,3136,,,2144,
,1344,,,2111,
,2112,,,2144,
,1312,,,2144,
,2528,,,2305,
,2144,,,2144,
,2145,,,2560,
,2144,,,2144,
,2144,,,2176,
,2113,,,2144,
,2144,,,2144,
,2112,,,2144,
,2272,,,2176,
,2144,,,2144,
,2112,,,2272,
,2144,,,2144,
,2144,,,2176,
,2143,,,2145,
,2272,,,2144,
,2176,,,2176,
,2304,,,2143,
,2112,,,2144,
,2144,,,2272,
,2112,,,2176,
,2144,,,2144,
,2144,,,2144,
,2112,,,2113,
,2144,,,2144,
,2240,,,2144,
,2144,,,2176,
,4192,,,2272,
,4736,,,2176,
,1952,,,2528,
,1440,,,2112,
,1344,,,2144,
,1344,,,2144,
,3232,,,2144,
,1376,,,2176,
,1888,,,2112,
,1952,,,2176,
,1376,,,2272,
,2432,,,2144,
,1377,,,2144,
,3104,,,2144,
,1344,,,2176,
,2080,,,2144,
,1312,,,2144,
,2560,,,2145,
,2112,,,2272,
,2112,,,2143,
,2175,,,2144,
,2176,,,2176,
,2112,,,2113,
,2144,,,2112,
,2144,,,2112,
,2304,,,2112,
,2144,,,2272,
,2112,,,2144,
,2145,,,2528,
,2144,,,2112,
,2112,,,2176,
,2112,,,2176,
,2176,,,2144,
,2272,,,2145,
,2144,,,2176,
,2144,,,2177,
,2113,,,2304,
,2112,,,2144,
,2112,,,2176,
,2113,,,2144,
,2144,,,2144,
,2273,,,2144,
,2112,,,2112,
,4256,,,2176,
,4704,,,2303,
,1920,,,2144,
,1440,,,2144,
,1344,,,2112,
,1312,,,2144,
,3232,,,2143,
,1344,,,2176,
,1856,,,2144,
,1920,,,2273,
,1344,,,2144,
,2528,,,2527,
,1376,,,2176,
,3104,,,2112,
,1312,,,2208,
,2080,,,2144,
,1344,,,2175,
,2528,,,2145,
,2144,,,2144,
,2143,,,2304,
,2144,,,2176,
,2176,,,2144,
,2144,,,2113,
,2144,,,2176,
,2144,,,2144,
,2303,,,2145,
,2144,,,2144,
,2144,,,2272,
,2144,,,2144,
,2144,,,2144,
,2112,,,2144,
,2112,,,2112,
,2176,,,2112,
,2303,,,2112,
,2176,,,2112,
,2144,,,2272,
,2143,,,2113,
,2112,,,2560,
,2175,,,2144,
,2144,,,2176,
,2176,,,2144,
,2240,,,2143,
,2144,,,2112,
,4223,,,2176,
,4768,,,2144,
,1920,,,2304,
,1407,,,2145,
,1376,,,2112,
,1344,,,2272,
,3296,,,2144,
,1377,,,2112,
,1856,,,2176,
,1952,,,2112,
,1376,,,2304,
,2496,,,2112,
,1408,,,2144,
,3104,,,2144,
,1344,,,2177,
,2080,,,2144,
,1312,,,2176,
,2496,,,2113,
,2176,,,2272,
,2112,,,2144,
,2176,,,2528,
,2144,,,2112,
,2176,,,2112,
,2175,,,2208,
,2112,,,2143,
,2305,,,2143,
,2112,,,2144,
,2112,,,2112,
,2144,,,2336,
,2144,,,2144,
,2112,,,2176,
,2112,,,2144,
,2176,,,2144,
,2304,,,2143,
,2144,,,2144,
,2176,,,2176,
,2176,,,2272,
,2144,,,2144,
,2112,,,2143,
,2112,,,2112,
,2144,,,2144,
,2272,,,2112,
,2176,,,2176,
,4224,,,2144,
,4608,,,2272,
,1952,,,2272,
,1472,,,2527,
,1344,,,2112,
,1343,,,2176,
,3232,,,2144,
,1344,,,2176,
,1855,,,2144,
,1984,,,2112,
,1344,,,2176,
,2560,,,2336,
,1376,,,2176,
,3263,,,2144,
,1344,,,2176,
,2048,,,2176,
,1376,,,2112,
,2528,,,2144,
,2144,,,2176,
,2144,,,2240,
,2144,,,2112,
,2176,,,2144,
,2112,,,2175,
,2143,,,2112,
,2145,,,2144,
,2272,,,2111,
,2144,,,2112,
,2144,,,2272,
,2144,,,2145,
,2144,,,2528,
,2144,,,2112,
,2176,,,2112,
,2144,,,2143,
,2304,,,2144,
,2143,,,2176,
,2144,,,2144,
,2112,,,2176,
,2176,,,2272,
,2176,,,2145,
,2144,,,2144,
,2143,,,2144,
,2240,,,2176,
,2144,,,2144,
,4192,,,2144,
,4769,,,2112,
,1984,,,2304,
,1408,,,2176,
,1344,,,2144,
,1344,,,2112,
,3233,,,2113,
,1376,,,2144,
,1920,,,2144,
,1952,,,2112,
,1344,,,2272,
,2495,,,2144,
,1408,,,2528,
,3136,,,2176,
,1344,,,2144,
,2080,,,2336,
,1344,,,2112,
,2496,,,2112,
,2144,,,2176,
,2144,,,2144,
,2176,,,2336,
,2144,,,2112,
,2176,,,2112,
,2176,,,2144,
,2112,,,2176,
,2239,,,2176,
,2144,,,2112,
,2145,,,2144,
,2176,,,2272,
,2144,,,2144,
,2177,,,2177,
,2144,,,2144,
,2176,,,2112,
,2272,,,2143,
,2144,,,2112,
,2144,,,2112,
,2112,,,2273,
,2176,,,2112,
,2112,,,2560,
,2176,,,2112,
,2144,,,2144,
,2273,,,2112,
,2144,,,2144,
,4160,,,2144,
,4640,,,2144,
,1952,,,2144,
,1471,,,2304,
,1312,,,2144,
,1344,,,2144,
,3264,,,2209,
,1377,,,2144,
,1888,,,2176,
,1952,,,2176,
,1376,,,2176,
,2592,,,2271,
,1376,,,2144,
,3104,,,2176,
,1344,,,2176,
,2049,,,2112,
,1376,,,2144,
,2560,,,2144,
,2144,,,2112,
,2144,,,2304,
,2176,,,2144,
,2112,,,,
,2144,,,,
,2143,,,,
,2176,,,,
,2337,,,,
,2112,,,,
,2112,,,,
,2143,,,,
,2176,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2304,,,,
,2207,,,,
,2144,,,,
,2113,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2272,,,,
,2176,,,,
,4256,,,,
,4736,,,,
,1984,,,,
,1440,,,,
,1344,,,,
,1376,,,,
,3264,,,,
,1376,,,,
,1855,,,,
,1951,,,,
,1344,,,,
,2528,,,,
,1408,,,,
,3233,,,,
,1344,,,,
,2080,,,,
,1343,,,,
,2528,,,,
,2113,,,,
,2144,,,,
,2176,,,,
,2175,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2240,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2336,,,,
,2144,,,,
,2143,,,,
,2112,,,,
,2113,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2240,,,,
,2112,,,,
,4256,,,,
,4672,,,,
,1920,,,,
,1440,,,,
,1344,,,,
,1344,,,,
,3425,,,,
,1376,,,,
,1856,,,,
,1953,,,,
,1376,,,,
,2560,,,,
,1408,,,,
,3072,,,,
,1313,,,,
,2080,,,,
,1376,,,,
,2528,,,,
,2144,,,,
,2175,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2145,,,,
,2304,,,,
,2176,,,,
,2111,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2272,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2113,,,,
,2144,,,,
,2144,,,,
,2271,,,,
,2144,,,,
,4224,,,,
,4736,,,,
,2080,,,,
,1408,,,,
,1376,,,,
,1376,,,,
,3264,,,,
,1408,,,,
,1856,,,,
,1952,,,,
,1345,,,,
,2464,,,,
,1376,,,,
,3040,,,,
,1345,,,,
,2080,,,,
,1344,,,,
,2560,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2271,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2271,,,,
,2112,,,,
,2144,,,,
,2113,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2112,,,,
,2271,,,,
,2144,,,,
,4287,,,,
,4640,,,,
,1951,,,,
,1440,,,,
,1376,,,,
,1376,,,,
,3200,,,,
,1344,,,,
,1888,,,,
,1984,,,,
,1344,,,,
,2560,,,,
,1377,,,,
,3104,,,,
,1344,,,,
,2080,,,,
,1344,,,,
,2528,,,,
,2176,,,,
,2112,,,,
,2177,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2304,,,,
,2145,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2272,,,,
,2177,,,,
,2144,,,,
,2111,,,,
,2145,,,,
,2176,,,,
,2145,,,,
,2176,,,,
,2272,,,,
,2112,,,,
,4192,,,,
,4736,,,,
,1984,,,,
,1408,,,,
,1312,,,,
,1343,,,,
,3296,,,,
,1376,,,,
,1887,,,,
,1984,,,,
,1408,,,,
,2496,,,,
,1376,,,,
,3105,,,,
,1312,,,,
,2112,,,,
,1344,,,,
,2528,,,,
,2177,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2112,,,,
,2272,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2112,,,,
,2144,,,,
,2175,,,,
,2272,,,,
,2112,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2145,,,,
,2272,,,,
,2112,,,,
,4256,,,,
,4640,,,,
,1920,,,,
,1440,,,,
,1344,,,,
,1312,,,,
,3265,,,,
,1344,,,,
,1856,,,,
,1951,,,,
,1344,,,,
,2496,,,,
,1440,,,,
,3072,,,,
,1344,,,,
,2080,,,,
,1376,,,,
,2592,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2272,,,,
,2176,,,,
,2113,,,,
,2144,,,,
,2144,,,,
,2143,,,,
,2144,,,,
,2176,,,,
,2304,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2111,,,,
,2112,,,,
,2144,,,,
,2272,,,,
,2112,,,,
,4223,,,,
,4736,,,,
,1888,,,,
,1407,,,,
,1376,,,,
,1376,,,,
,3232,,,,
,1344,,,,
,1856,,,,
,1952,,,,
,1408,,,,
,2560,,,,
,1440,,,,
,3104,,,,
,1344,,,,
,2111,,,,
,1312,,,,
,2529,,,,
,2112,,,,
,2240,,,,
,2145,,,,
,2144,,,,
,2144,,,,
,2113,,,,
,2144,,,,
,2271,,,,
,2175,,,,
,2112,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2272,,,,
,2111,,,,
,2112,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2145,,,,
,2176,,,,
,2240,,,,
,2144,,,,
,4257,,,,
,4608,,,,
,1952,,,,
,1408,,,,
,1344,,,,
,1376,,,,
,3232,,,,
,1344,,,,
,1887,,,,
,1985,,,,
,1344,,,,
,2528,,,,
,1440,,,,
,3105,,,,
,1344,,,,
,2080,,,,
,1376,,,,
,2528,,,,
,2145,,,,
,2208,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2304,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2175,,,,
,2304,,,,
,2144,,,,
,2112,,,,
,2112,,,,
,2113,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2240,,,,
,2176,,,,
,4192,,,,
,4736,,,,
,2112,,,,
,1440,,,,
,1375,,,,
,1376,,,,
,3265,,,,
,1408,,,,
,1856,,,,
,1952,,,,
,1408,,,,
,2464,,,,
,1440,,,,
,3135,,,,
,1344,,,,
,2080,,,,
,1344,,,,
,2496,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2240,,,,
,2144,,,,
,2113,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2272,,,,
,2144,,,,
,2145,,,,
,2176,,,,
,2112,,,,
,2111,,,,
,2112,,,,
,2144,,,,
,2304,,,,
,2144,,,,
,4256,,,,
,4671,,,,
,2112,,,,
,1407,,,,
,1312,,,,
,1344,,,,
,3424,,,,
,1376,,,,
,1888,,,,
,1984,,,,
,1344,,,,
,2529,,,,
,1408,,,,
,3136,,,,
,1312,,,,
,2080,,,,
,1376,,,,
,2497,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2175,,,,
,2144,,,,
,2176,,,,
,2271,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2273,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2112,,,,
,2144,,,,
,2240,,,,
,2144,,,,
,4223,,,,
,4736,,,,
,1952,,,,
,1408,,,,
,1344,,,,
,1343,,,,
,3296,,,,
,1344,,,,
,1855,,,,
,1984,,,,
,1376,,,,
,2432,,,,
,1376,,,,
,3104,,,,
,1312,,,,
,2047,,,,
,1377,,,,
,2496,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2175,,,,
,2176,,,,
,2272,,,,
,2176,,,,
,2112,,,,
,2144,,,,
,2111,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2304,,,,
,2111,,,,
,2112,,,,
,2112,,,,
,2113,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2272,,,,
,2112,,,,
,4256,,,,
,4640,,,,
,1920,,,,
,1408,,,,
,1343,,,,
,1376,,,,
,3231,,,,
,1344,,,,
,1920,,,,
,1951,,,,
,1343,,,,
,2591,,,,
,1408,,,,
,3136,,,,
,1344,,,,
,2080,,,,
,1344,,,,
,2528,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2272,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2176,,,,
,2175,,,,
,2144,,,,
,2143,,,,
,2304,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2208,,,,
,2111,,,,
,2112,,,,
,2113,,,,
,2272,,,,
,2112,,,,
,4256,,,,
,4736,,,,
,1952,,,,
,1472,,,,
,1344,,,,
,1344,,,,
,3264,,,,
,1409,,,,
,1856,,,,
,1952,,,,
,1377,,,,
,2527,,,,
,1408,,,,
,3104,,,,
,1376,,,,
,2112,,,,
,1344,,,,
,2560,,,,
,2112,,,,
,2145,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2176,,,,
,2273,,,,
,2144,,,,
,2113,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2271,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2111,,,,
,2144,,,,
,2144,,,,
,2305,,,,
,2144,,,,
,4223,,,,
,4640,,,,
,2017,,,,
,1408,,,,
,1344,,,,
,1376,,,,
,3296,,,,
,1376,,,,
,1888,,,,
,1952,,,,
,1344,,,,
,2592,,,,
,1407,,,,
,3072,,,,
,1312,,,,
,2080,,,,
,1344,,,,
,2560,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2272,,,,
,2144,,,,
,2176,,,,
,2145,,,,
,2144,,,,
,2176,,,,
,2143,,,,
,2144,,,,
,2272,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2113,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2272,,,,
,2176,,,,
,4224,,,,
,4704,,,,
,1984,,,,
,1408,,,,
,1376,,,,
,1344,,,,
,3264,,,,
,1376,,,,
,1856,,,,
,1953,,,,
,1376,,,,
,2464,,,,
,1408,,,,
,3104,,,,
,1344,,,,
,2112,,,,
,1313,,,,
,2528,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2112,,,,
,2176,,,,
,2272,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2145,,,,
,2272,,,,
,2143,,,,
,2144,,,,
,2176,,,,
,2113,,,,
,2112,,,,
,2112,,,,
,2112,,,,
,2272,,,,
,2144,,,,
,4224,,,,
,4640,,,,
,1920,,,,
,1408,,,,
,1344,,,,
,1344,,,,
,3296,,,,
,1376,,,,
,1856,,,,
,1952,,,,
,1345,,,,
,2624,,,,
,1408,,,,
,3104,,,,
,1344,,,,
,2112,,,,
,1344,,,,
,2528,,,,
,2112,,,,
,2176,,,,
,2176,,,,
,2144,,,,
,2145,,,,
,2176,,,,
,2177,,,,
,2304,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2303,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2143,,,,
,2176,,,,
,2144,,,,
,2273,,,,
,2144,,,,
,4224,,,,
,4767,,,,
,1920,,,,
,1407,,,,
,1376,,,,
,1344,,,,
,3264,,,,
,1344,,,,
,1888,,,,
,1920,,,,
,1344,,,,
,2496,,,,
,1376,,,,
,3264,,,,
,1376,,,,
,2048,,,,
,1344,,,,
,2527,,,,
,2176,,,,
,2112,,,,
,2208,,,,
,2144,,,,
,2175,,,,
,2145,,,,
,2144,,,,
,2304,,,,
,2176,,,,
,2144,,,,
,2113,,,,
,2176,,,,
,2144,,,,
,2145,,,,
,2144,,,,
,2272,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2112,,,,
,2112,,,,
,2112,,,,
,2272,,,,
,2113,,,,
,4289,,,,
,4672,,,,
,1984,,,,
,1440,,,,
,1376,,,,
,1343,,,,
,3232,,,,
,1376,,,,
,1856,,,,
,1951,,,,
,1344,,,,
,2528,,,,
,1408,,,,
,3040,,,,
,1376,,,,
,2080,,,,
,1343,,,,
,2560,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2143,,,,
,2112,,,,
,2176,,,,
,2144,,,,
,2304,,,,
,2145,,,,
,2112,,,,
,2272,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2112,,,,
,2304,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2177,,,,
,2144,,,,
,2176,,,,
,2113,,,,
,2272,,,,
,2144,,,,
,4256,,,,
,4736,,,,
,1920,,,,
,1440,,,,
,1375,,,,
,1344,,,,
,3296,,,,
,1376,,,,
,1920,,,,
,1952,,,,
,1409,,,,
,2497,,,,
,1408,,,,
,3136,,,,
,1313,,,,
,2080,,,,
,1312,,,,
,2528,,,,
,2112,,,,
,2112,,,,
,2208,,,,
,2143,,,,
,2143,,,,
,2144,,,,
,2112,,,,
,2336,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2143,,,,
,2144,,,,
,2176,,,,
,2272,,,,
,2144,,,,
,2143,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2144,,,,
,2272,,,,
,2272,,,,
,4256,,,,
,4640,,,,
,1952,,,,
,1409,,,,
,1312,,,,
,1344,,,,
,3232,,,,
,1343,,,,
,1856,,,,
,1952,,,,
,1344,,,,
,2593,,,,
,1377,,,,
,3072,,,,
,1376,,,,
,2112,,,,
,1344,,,,
,2527,,,,
,2112,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2176,,,,
,2336,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2112,,,,
,2144,,,,
,2176,,,,
,2240,,,,
,2112,,,,
,2144,,,,
,2175,,,,
,2112,,,,
,2144,,,,
,2111,,,,
,2112,,,,
,2272,,,,
,2145,,,,
,4225,,,,
,4736,,,,
,1951,,,,
,1408,,,,
,1312,,,,
,1344,,,,
,3232,,,,
,1376,,,,
,1856,,,,
,1952,,,,
,1344,,,,
,2528,,,,
,1376,,,,
,3072,,,,
,1312,,,,
,2047,,,,
,1312,,,,
,2528,,,,
,2112,,,,
,2112,,,,
,2143,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2176,,,,
,2272,,,,
,2145,,,,
,2144,,,,
,2144,,,,
,2176,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2304,,,,
,2176,,,,
,2144,,,,
,2112,,,,
,2113,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2272,,,,
,2144,,,,
,4224,,,,
,4608,,,,
,1952,,,,
,1440,,,,
,1376,,,,
,1376,,,,
,3233,,,,
,1344,,,,
,1856,,,,
,2015,,,,
,1344,,,,
,2527,,,,
,1408,,,,
,3136,,,,
,1345,,,,
,2048,,,,
,1312,,,,
,2528,,,,
,2176,,,,
,2144,,,,
,2336,,,,
,2112,,,,
,2112,,,,
,2176,,,,
,2144,,,,
,2336,,,,
,2112,,,,
,2112,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2112,,,,
,2144,,,,
,2272,,,,
,2144,,,,
,2177,,,,
,2144,,,,
,2112,,,,
,2143,,,,
,2112,,,,
,2112,,,,
,2273,,,,
,2112,,,,
,4224,,,,
,4736,,,,
,1920,,,,
,1408,,,,
,1344,,,,
,1312,,,,
,3360,,,,
,1375,,,,
,1856,,,,
,1984,,,,
,1408,,,,
,2464,,,,
,1376,,,,
,3136,,,,
,1344,,,,
,2080,,,,
,1312,,,,
,2560,,,,
,2112,,,,
,2144,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2144,,,,
,2304,,,,
,2144,,,,
,2144,,,,
,2209,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2176,,,,
,2271,,,,
,2144,,,,
,2176,,,,
,2176,,,,
,2112,,,,
,2144,,,,
,2144,,,,
,2112,,,,
,2304,,,,
,2144,,,,
,4223,,,,
,4640,,,,
,1889,,,,
,1407,,,,
,1344,,,,
,1311,,,,
,3232,,,,
,1376,,,,
,1888,,,,
,1984,,,,
,1344,,,,